cik,name,cohort,sector_hint
1661920,Lonestar Resources US Inc.,distress,1311
1705012,"Fat Brands, Inc",distress,5812
1711291,CURO Group Holdings Corp.,distress,6199
1720990,Fisker Inc./DE,distress,3711
1723580,"BurgerFi International, Inc.",distress,5812
1725526,HighPoint Resources Corp,distress,1311
1731289,Nikola Corp,distress,3711
1741231,"Tattooed Chef, Inc.",distress,2090
1758057,"Luminar Technologies, Inc./DE",distress,3714
1759546,Stark Novus Financial Inc.,distress,3711
1760173,"SURGALIGN HOLDINGS, INC.",distress,3842
1762322,"SHIFT TECHNOLOGIES, INC.",distress,5500
1770141,"UpHealth, Inc.",distress,8000
1772695,Sunnova Energy International Inc.,distress,4931
1775625,"SmileDirectClub, Inc.",distress,3843
1776197,AKUMIN INC.,distress,8071
1779020,"Danimer Scientific, Inc.",distress,2821
1784567,"Harbor Custom Development, Inc.",distress,1531
1794905,"Cyxtera Technologies, Inc.",distress,7370
1800682,"Cano Health, Inc.",distress,8011
1804591,Chrome Holding Co.,distress,2834
1807707,"AppHarvest, Inc.",distress,0100
1808220,"GoHealth, Inc.",distress,6411
1811109,"Applied UV, Inc.",distress,3640
1811856,"View, Inc.",distress,3211
1813756,WeWork Inc.,distress,6512
1813914,"CareMax, Inc.",distress,8050
1820630,Proterra Inc,distress,3711
1821850,Sunlight Financial Holdings Inc.,distress,6199
1823882,Airspan Networks Holdings Inc.,distress,3663
1826671,"Near Intelligence, Inc.",distress,7374
1828672,"Boxed, Inc.",distress,5961
1830180,"Legacy EJY, Inc.",distress,7389
1830210,"Benson Hill, Inc.",distress,2000
1832351,"Fast Radius, Inc.",distress,3440
1834045,"Vintage Wine Estates, Inc.",distress,2080
1834585,JOANN Inc.,distress,5940
1835567,"Pear Therapeutics, Inc.",distress,8000
1835972,"iLearningEngines, Inc.",distress,7372
1839341,"Core Scientific, Inc./tx",distress,6199
1839412,QualTek Services Inc.,distress,1623
1843388,"Virgin Orbit Holdings, Inc.",distress,3812
1850838,"Omega Therapeutics, Inc.",distress,2836
1852117,Rockley Photonics Holdings Ltd,distress,3674
1861449,"Bird Global, Inc.",distress,3751
1872356,"Molekule Group, Inc.",distress,3564
1893311,LUXURBAN HOTELS INC.,distress,6500
1901799,Bitcoin Depot Inc.,distress,6199
310522,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,survivor,6111
1067983,BERKSHIRE HATHAWAY INC,survivor,6331
1018724,AMAZON COM INC,survivor,5961
1137774,PRUDENTIAL FINANCIAL INC,survivor,6311
1099219,METLIFE INC,survivor,6311
1652044,Alphabet Inc.,survivor,7370
789019,MICROSOFT CORP,survivor,7372
34088,EXXON MOBIL CORP,survivor,2911
1527469,Athene Holding Ltd.,survivor,6311
732717,AT&T INC.,survivor,4813
732712,VERIZON COMMUNICATIONS INC,survivor,4813
1326801,"Meta Platforms, Inc.",survivor,7370
320193,Apple Inc.,survivor,3571
93410,CHEVRON CORP,survivor,2911
1333986,"Equitable Holdings, Inc.",survivor,6411
4962,AMERICAN EXPRESS CO,survivor,6199
104169,Walmart Inc.,survivor,5331
37996,FORD MOTOR CO,survivor,3711
1467858,General Motors Co,survivor,3711
1166691,COMCAST CORP,survivor,4841
1045810,NVIDIA CORP,survivor,3674
64803,CVS HEALTH Corp,survivor,5912
1341439,ORACLE CORP,survivor,7372
753308,NEXTERA ENERGY INC,survivor,4911
1283699,"T-Mobile US, Inc.",survivor,4812
78003,PFIZER INC,survivor,2834
50863,INTEL CORP,survivor,3674
1744489,Walt Disney Co,survivor,7990
1325814,Federal Home Loan Bank of Des Moines,survivor,6111
200406,JOHNSON & JOHNSON,survivor,2834
1326160,Duke Energy CORP,survivor,4931
1730168,Broadcom Inc.,survivor,3674
1329842,Federal Home Loan Bank of New York,survivor,6111
101829,RTX Corp,survivor,3724
12927,BOEING CO,survivor,3721
38009,FORD MOTOR CREDIT CO LLC,survivor,6159
92122,SOUTHERN CO,survivor,4911
51143,INTERNATIONAL BUSINESS MACHINES CORP,survivor,3570
1091667,"CHARTER COMMUNICATIONS, INC. /MO/",survivor,4841
1271833,CCO HOLDINGS LLC,survivor,4841
1081316,BERKSHIRE HATHAWAY ENERGY CO,survivor,4900
1318605,"Tesla, Inc.",survivor,3711
1043219,ANNALY CAPITAL MANAGEMENT INC,survivor,6798
1551152,AbbVie Inc.,survivor,2834
310158,"Merck & Co., Inc.",survivor,2834
40545,GENERAL ELECTRIC CO,survivor,3600
80424,PROCTER & GAMBLE Co,survivor,2840
858877,"CISCO SYSTEMS, INC.",survivor,3576
1163165,CONOCOPHILLIPS,survivor,2911
1423689,AGNC Investment Corp.,survivor,6798
59478,ELI LILLY & Co,survivor,2834
1571996,Dell Technologies Inc.,survivor,3571
97745,THERMO FISHER SCIENTIFIC INC.,survivor,3829
77476,PEPSICO INC,survivor,2080
1800,ABBOTT LABORATORIES,survivor,2834
354950,"HOME DEPOT, INC.",survivor,5211
315189,DEERE & CO,survivor,3523
1108524,"Salesforce, Inc.",survivor,7372
21344,COCA COLA CO,survivor,2080
723125,MICRON TECHNOLOGY INC,survivor,3674
1045609,"Prologis, Inc.",survivor,6798
1403161,VISA INC.,survivor,7389
1048911,FEDEX CORP,survivor,4513
1662972,"Blackstone Real Estate Income Trust, Inc.",survivor,6798
1613103,Medtronic plc,survivor,3845
318154,AMGEN INC,survivor,2836
1510295,Marathon Petroleum Corp,survivor,2911
14272,BRISTOL MYERS SQUIBB CO,survivor,2834
909832,COSTCO WHOLESALE CORP /NEW,survivor,5331
1707925,LINDE PLC,survivor,2810
27904,"DELTA AIR LINES, INC.",survivor,4512
313616,DANAHER CORP /DE/,survivor,3823
927653,MCKESSON CORP,survivor,5122
1637459,Kraft Heinz Co,survivor,2030
1140859,"Cencora, Inc.",survivor,5122
100517,"United Airlines Holdings, Inc.",survivor,4512
798354,FISERV INC,survivor,7389
1633917,"PayPal Holdings, Inc.",survivor,7389
797468,OCCIDENTAL PETROLEUM CORP /DE/,survivor,1311
2488,ADVANCED MICRO DEVICES INC,survivor,3674
354190,Arthur J. Gallagher & Co.,survivor,6411
1996810,GE Vernova Inc.,survivor,3600
726728,REALTY INCOME CORP,survivor,6798
773840,HONEYWELL INTERNATIONAL INC,survivor,3724
1418135,Keurig Dr Pepper Inc.,survivor,2080
1090727,UNITED PARCEL SERVICE INC,survivor,4210
1103982,"Mondelez International, Inc.",survivor,2000
1539838,"Diamondback Energy, Inc.",survivor,1311
766704,WELLTOWER INC.,survivor,6798
1467373,Accenture plc,survivor,7389
6201,American Airlines Group Inc.,survivor,4512
860730,"HCA Healthcare, Inc.",survivor,8062
1065280,NETFLIX INC,survivor,7841
63908,MCDONALDS CORP,survivor,5812
1751788,DOW INC.,survivor,2821
936468,LOCKHEED MARTIN CORP,survivor,3760
831259,FREEPORT-MCMORAN INC,survivor,1000
62709,"MARSH & MCLENNAN COMPANIES, INC.",survivor,6411
849395,CRH PUBLIC LTD CO,survivor,3241
27419,TARGET CORP,survivor,5331
1164727,NEWMONT Corp /DE/,survivor,1040
804328,QUALCOMM INC/DE,survivor,3663
882095,"GILEAD SCIENCES, INC.",survivor,2836
60667,LOWES COMPANIES INC,survivor,5211
87347,SLB LIMITED/NV,survivor,1389
821189,EOG RESOURCES INC,survivor,1311
315293,Aon plc,survivor,6411
10795,BECTON DICKINSON & CO,survivor,3841
1133421,NORTHROP GRUMMAN CORP /DE/,survivor,3812
6281,ANALOG DEVICES INC,survivor,3674
310764,STRYKER CORP,survivor,3841
885725,BOSTON SCIENTIFIC CORP,survivor,3841
1755672,"Corteva, Inc.",survivor,0100
33213,EQT Corp,survivor,1311
2969,"Air Products & Chemicals, Inc.",survivor,2810
872589,"REGENERON PHARMACEUTICALS, INC.",survivor,2834
818686,TEVA PHARMACEUTICAL INDUSTRIES LTD,survivor,2834
1748790,Amcor plc,survivor,3990
320187,"NIKE, Inc.",survivor,3021
109198,TJX COMPANIES INC /DE/,survivor,5651
7536,"ARROW ELECTRONICS, INC.",survivor,5065
882184,HORTON D R INC /DE/,survivor,1531
1177394,TD SYNNEX CORP,survivor,5045
920760,LENNAR CORP /NEW/,survivor,1520
1090012,DEVON ENERGY CORP/DE,survivor,1311
29534,DOLLAR GENERAL CORP,survivor,5331
70318,TENET HEALTHCARE CORP,survivor,8062
76334,Parker-Hannifin Corp,survivor,3490
829224,STARBUCKS CORP,survivor,5810
1138118,"CBRE GROUP, INC.",survivor,6500
1478242,IQVIA HOLDINGS INC.,survivor,8731
895126,EXPAND ENERGY Corp,survivor,1311
96021,SYSCO CORP,survivor,5140
1075531,Booking Holdings Inc.,survivor,4700
1324424,"Expedia Group, Inc.",survivor,4700
89800,SHERWIN WILLIAMS CO,survivor,5200
1170010,CARMAX INC,survivor,5500
1335258,"Live Nation Entertainment, Inc.",survivor,7900
1023128,LITHIA MOTORS INC,survivor,5500
1385157,TE Connectivity plc,survivor,5065
732834,"CONTINENTAL RESOURCES, INC",survivor,1311
946155,TIAA REAL ESTATE ACCOUNT,survivor,6500
45012,HALLIBURTON CO,survivor,1389
1618755,Restaurant Brands International Limited Partnership,survivor,5812
1618756,Restaurant Brands International Inc.,survivor,5812
858470,Coterra Energy Inc.,survivor,1311
1001838,SOUTHERN COPPER CORP/,survivor,1000
93556,"STANLEY BLACK & DECKER, INC.",survivor,3420
40987,GENUINE PARTS CO,survivor,5013
866787,AUTOZONE INC,survivor,5531
823277,CHS INC,survivor,5150
1411342,Ellington Financial Inc.,survivor,6500
764065,CLEVELAND-CLIFFS INC.,survivor,1000
9389,BALL Corp,survivor,3411
920148,LABCORP HOLDINGS INC.,survivor,8071
1687229,Invitation Homes Inc.,survivor,6510
89089,SERVICE CORP INTERNATIONAL,survivor,7200
42582,GOODYEAR TIRE & RUBBER CO /OH/,survivor,3011
1019849,"PENSKE AUTOMOTIVE GROUP, INC.",survivor,5500
822416,PULTEGROUP INC/MI/,survivor,1531
40211,GATX CORP,survivor,4700
1037976,JONES LANG LASALLE INC,survivor,6531
1089063,"DICK'S SPORTING GOODS, INC.",survivor,5940
723531,PAYCHEX INC,survivor,8700
927066,DAVITA INC.,survivor,8090
1834584,"Coupang, Inc.",survivor,5961
1022079,QUEST DIAGNOSTICS INC,survivor,8071
1402057,CDW Corp,survivor,5961
1973266,"TKO Group Holdings, Inc.",survivor,7900
352915,UNIVERSAL HEALTH SERVICES INC,survivor,8062
745732,"ROSS STORES, INC.",survivor,5651
764478,BEST BUY CO INC,survivor,5731
794170,"Toll Brothers, Inc.",survivor,1531
1219601,"CROWN HOLDINGS, INC.",survivor,3411
1108109,COMMUNITY HEALTH SYSTEMS INC,survivor,8062
1370946,Owens Corning,survivor,3290
1852244,"GXO Logistics, Inc.",survivor,4700
39911,GAP INC,survivor,5651
868857,AECOM,survivor,8711
1492691,Knight-Swift Transportation Holdings Inc.,survivor,4213
52988,JACOBS SOLUTIONS INC.,survivor,1600
916365,TRACTOR SUPPLY CO /DE/,survivor,5200
1206264,SOMNIGROUP INTERNATIONAL INC.,survivor,2510
78239,PVH CORP. /DE/,survivor,2320
1326380,GameStop Corp.,survivor,5734
814453,NEWELL BRANDS INC.,survivor,3089
1319161,Warner Music Group Corp.,survivor,7900
15615,MASTEC INC,survivor,1623
723254,CINTAS CORP,survivor,2320
932696,INSIGHT ENTERPRISES INC,survivor,5961
103379,V F CORP,survivor,2320
812074,"O-I Glass, Inc. /DE/",survivor,3221
1397187,lululemon athletica inc.,survivor,2300
1101302,ENTEGRIS INC,survivor,3089
728535,HUNT J B TRANSPORT SERVICES INC,survivor,4213
1124198,FLUOR CORP,survivor,1600
1100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",survivor,8731
1411579,"AMC ENTERTAINMENT HOLDINGS, INC.",survivor,7830
1403568,"Ulta Beauty, Inc.",survivor,5990
1357615,"KBR, INC.",survivor,1600
1519751,"Fortune Brands Innovations, Inc.",survivor,2430
63276,MATTEL INC /DE/,survivor,3942
46080,"HASBRO, INC.",survivor,3944
878927,"OLD DOMINION FREIGHT LINE, INC.",survivor,4213
719955,WILLIAMS SONOMA INC,survivor,5700
1528849,RH,survivor,5712
48287,HNI CORP,survivor,2522
1856437,Victoria's Secret & Co.,survivor,5621
912615,URBAN OUTFITTERS INC,survivor,5651
912767,UFP INDUSTRIES INC,survivor,2421
1484769,FuboTV Inc.,survivor,7812
66382,"MILLERKNOLL, INC.",survivor,2520
918646,EAGLE MATERIALS INC,survivor,3241
