cik,as_of,label,days_to_event,signal,confidence,risk_score,risk_probability,steps,terminated_because,verification_passed,tools_called,baseline_seen
895419,2024-07-01,1,364,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_line_item,0
918646,2024-07-01,0,,healthy,1.0,2.0,0.02,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events,0
1008654,2024-07-01,1,78,severe_risk,0.9,92.0,0.92,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_metric|check_threshold|check_threshold|get_peer_comparison,0
1081316,2024-07-01,0,,watch,0.8,22.0,0.22,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1101680,2024-07-01,1,256,watch,0.6,22.0,0.22,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_trend|get_peer_comparison|get_metric,0
1103982,2024-07-01,0,,healthy,0.9,7.0,0.07,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1108109,2024-07-01,0,,watch,0.8,18.0,0.18,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_peer_comparison|get_prior_distress_events|check_threshold|check_threshold,0
1162461,2024-07-01,1,247,severe_risk,0.9,88.0,0.88,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|check_threshold|check_threshold,0
1219601,2024-07-01,0,,healthy,0.6,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0
1223389,2024-07-01,1,24,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|get_line_item,0
1357615,2024-07-01,0,,healthy,0.9,8.0,0.08,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1391127,2024-07-01,1,70,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_metric|get_metric|get_prior_distress_events|get_trend|check_threshold|check_threshold|get_line_item,0
1396033,2024-07-01,1,41,elevated_risk,0.8,58.0,0.58,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold|get_metric,0
1411688,2024-07-01,1,174,severe_risk,0.9,82.0,0.82,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1423689,2024-07-01,0,,watch,0.5,22.0,0.22,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|get_line_item|get_line_item,0
1459417,2024-07-01,1,23,elevated_risk,0.8,72.0,0.72,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1467373,2024-07-01,0,,healthy,1.0,2.0,0.02,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_prior_distress_events,0
1498710,2024-07-01,1,140,elevated_risk,0.8,42.0,0.42,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_trend,0
1537028,2024-07-01,1,155,watch,0.8,22.0,0.22,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_metric|get_line_item|get_line_item|get_line_item,0
1580864,2024-07-01,1,135,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|check_threshold|check_threshold|get_peer_comparison,0
1584754,2024-07-01,1,168,healthy,0.9,5.0,0.05,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold|get_line_item,0
1633917,2024-07-01,0,,healthy,0.9,5.0,0.05,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events,0
1656634,2024-07-01,1,101,watch,0.8,28.0,0.28,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1723580,2024-07-01,1,78,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_peer_comparison|check_threshold|check_threshold,0
1731289,2024-07-01,1,233,watch,0.9,18.0,0.18,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_line_item|get_line_item,0
1772695,2024-07-01,1,342,watch,0.8,28.0,0.28,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1779020,2024-07-01,1,260,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1804591,2024-07-01,1,266,watch,0.9,18.0,0.18,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
1813914,2024-07-01,1,140,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1830210,2024-07-01,1,267,watch,0.8,15.0,0.15,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1834045,2024-07-01,1,23,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_trend|check_threshold|check_threshold,0
1835972,2024-07-01,1,175,severe_risk,0.9,85.0,0.85,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1850838,2024-07-01,1,224,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|get_line_item|get_line_item|get_line_item|get_line_item,0
2488,2024-10-01,0,,watch,0.8,18.0,0.18,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_trend,0
14272,2024-10-01,0,,healthy,0.9,5.0,0.05,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
37996,2024-10-01,0,,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|check_threshold|get_peer_comparison|get_metric|get_trend,0
50863,2024-10-01,0,,severe_risk,0.6,82.0,0.82,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_trend|get_prior_distress_events|get_trend|check_threshold|get_peer_comparison,0
59478,2024-10-01,0,,healthy,0.9,5.0,0.05,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_line_item|get_prior_distress_events|get_line_item|get_line_item|get_metric,0
80424,2024-10-01,0,,healthy,0.95,2.0,0.02,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
92122,2024-10-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
93556,2024-10-01,0,,watch,0.5,32.0,0.32,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_metric|get_peer_comparison|get_line_item,0
105319,2024-10-01,1,217,severe_risk,0.9,85.0,0.85,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
748790,2024-10-01,1,199,insufficient_evidence,0.0,,0.5,0,case_error,0,,0
812074,2024-10-01,0,,severe_risk,0.9,82.0,0.82,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
831259,2024-10-01,0,,healthy,0.9,5.0,0.05,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events,0
837852,2024-10-01,1,66,severe_risk,1.0,98.0,0.98,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
858877,2024-10-01,0,,healthy,0.9,11.0,0.11,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_trend|get_trend|get_peer_comparison,0
878927,2024-10-01,0,,healthy,1.0,1.0,0.01,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events,0
882095,2024-10-01,0,,healthy,0.9,5.0,0.05,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
895419,2024-10-01,1,272,elevated_risk,0.6,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_trend,0
927653,2024-10-01,0,,watch,0.8,18.0,0.18,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item,0
1037976,2024-10-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0
1043219,2024-10-01,0,,watch,0.8,15.0,0.15,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|check_threshold|get_line_item|get_line_item,0
1065280,2024-10-01,0,,healthy,1.0,2.0,0.02,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events,0
1100682,2024-10-01,0,,healthy,0.9,5.0,0.05,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend,0
1101680,2024-10-01,1,164,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1162461,2024-10-01,1,155,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|get_peer_comparison|get_line_item,0
1166691,2024-10-01,0,,watch,0.8,15.0,0.15,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_line_item|get_line_item|get_line_item|get_line_item,0
1170010,2024-10-01,0,,healthy,0.9,8.0,0.08,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0
1220754,2024-10-01,1,323,elevated_risk,0.8,68.0,0.68,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1326160,2024-10-01,0,,healthy,0.8,14.0,0.14,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1411688,2024-10-01,1,82,severe_risk,0.8,72.0,0.72,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1455684,2024-10-01,1,314,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison|get_trend,0
1456772,2024-10-01,0,,watch,0.6,28.0,0.28,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|check_threshold|check_threshold|get_peer_comparison,0
1498710,2024-10-01,1,48,elevated_risk,0.6,68.0,0.68,13,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|check_threshold|check_threshold|get_trend|get_peer_comparison|get_line_item|get_line_item,0
1537028,2024-10-01,1,63,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|check_threshold|check_threshold|get_peer_comparison,0
1539838,2024-10-01,0,,healthy,0.95,2.0,0.02,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
1580864,2024-10-01,1,43,severe_risk,0.8,82.0,0.82,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1584754,2024-10-01,1,76,watch,0.8,38.0,0.38,13,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_line_item|get_line_item|get_line_item|get_line_item,0
1613103,2024-10-01,0,,healthy,1.0,2.0,0.02,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
1656634,2024-10-01,1,9,elevated_risk,0.8,32.0,0.32,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1731289,2024-10-01,1,141,watch,0.9,18.0,0.18,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_metric|get_line_item|get_line_item|get_line_item,0
1744489,2024-10-01,0,,elevated_risk,0.8,72.0,0.72,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_prior_distress_events|get_metric|get_peer_comparison|check_threshold,0
1772695,2024-10-01,1,250,watch,0.8,24.0,0.24,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1779020,2024-10-01,1,168,watch,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_line_item|get_line_item|get_line_item,0
1804591,2024-10-01,1,174,watch,0.9,22.0,0.22,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_trend|get_peer_comparison|check_threshold,0
1813914,2024-10-01,1,48,severe_risk,0.6,85.0,0.85,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|get_line_item|get_line_item,0
1830210,2024-10-01,1,175,watch,0.8,22.0,0.22,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_peer_comparison|check_threshold,0
1835972,2024-10-01,1,83,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_prior_distress_events|check_threshold|check_threshold|get_trend|get_trend,0
1850838,2024-10-01,1,132,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1893311,2024-10-01,1,348,elevated_risk,0.8,72.0,0.72,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|get_metric|get_line_item|get_line_item|get_peer_comparison,0
10795,2025-01-01,0,,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
50863,2025-01-01,0,,severe_risk,0.9,82.0,0.82,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_prior_distress_events,0
105319,2025-01-01,1,125,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
109198,2025-01-01,0,,healthy,0.6,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison|check_threshold|get_line_item,0
200406,2025-01-01,0,,healthy,0.9,5.0,0.05,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
318154,2025-01-01,0,,healthy,0.6,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
719955,2025-01-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
720154,2025-01-01,0,,elevated_risk,0.8,34.0,0.34,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_metric|get_metric|get_prior_distress_events|get_peer_comparison|get_trend|get_trend|check_threshold,0
748790,2025-01-01,1,107,severe_risk,0.9,92.0,0.92,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|check_threshold|check_threshold|get_peer_comparison,0
797468,2025-01-01,0,,healthy,0.9,3.0,0.03,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_line_item|get_prior_distress_events|get_line_item|get_line_item|get_trend,0
882095,2025-01-01,0,,healthy,0.6,3.0,0.03,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_line_item|get_line_item|check_threshold|check_threshold|get_prior_distress_events|get_trend,0
895419,2025-01-01,1,180,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item,0
1018724,2025-01-01,0,,healthy,0.95,2.0,0.02,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item,0
1101680,2025-01-01,1,72,elevated_risk,0.8,52.0,0.52,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|check_threshold|get_peer_comparison|get_trend|get_line_item,0
1133421,2025-01-01,0,,healthy,0.95,2.0,0.02,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
1159167,2025-01-01,1,347,elevated_risk,0.9,68.0,0.68,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1162461,2025-01-01,1,63,severe_risk,0.9,88.0,0.88,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1177394,2025-01-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
1220754,2025-01-01,1,231,elevated_risk,0.8,52.0,0.52,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1324424,2025-01-01,0,,healthy,0.8,8.0,0.08,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0
1333986,2025-01-01,0,,elevated_risk,0.5,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_metric|get_line_item|get_line_item|get_line_item,0
1402057,2025-01-01,0,,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_line_item|get_metric|get_prior_distress_events,0
1415404,2025-01-01,0,,severe_risk,0.9,78.0,0.78,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_metric|get_prior_distress_events|get_peer_comparison|check_threshold|get_trend,0
1455684,2025-01-01,1,222,severe_risk,0.9,88.0,0.88,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|check_threshold|check_threshold,0
1456772,2025-01-01,1,302,watch,0.5,24.0,0.24,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_trend|get_metric|check_threshold|check_threshold,0
1467373,2025-01-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item,0
1510295,2025-01-01,0,,healthy,0.9,2.0,0.02,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
1652044,2025-01-01,0,,healthy,1.0,1.0,0.01,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events,0
1687229,2025-01-01,0,,healthy,0.6,8.0,0.08,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison|check_threshold,0
1731289,2025-01-01,1,49,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|get_line_item|get_line_item,0
1758057,2025-01-01,1,348,severe_risk,0.9,85.0,0.85,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1772695,2025-01-01,1,158,watch,0.8,28.0,0.28,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1779020,2025-01-01,1,76,healthy,0.9,8.0,0.08,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric,0
1804591,2025-01-01,1,82,watch,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_line_item|get_line_item,0
1830210,2025-01-01,1,83,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
